Indice,Data,Tipo,Titulo,Ticker,Qnt,Preco
0,02/07/2019,C,OI ON N1,OIBR3,100, R$ 1.57 
1,02/07/2019,C,CIELO ON,CIEL3,13, R$ 6.56 
2,11/07/2019,C,ISHARES BOVA CI,BOVA11,4, R$ 101.20 
3,15/07/2019,C,VIAVAREJO ON NM,VIIA3,12, R$ 6.90 
4,15/07/2019,C,VIAVAREJO ON NM,VIIA3,2, R$ 6.90 
5,16/07/2019,C,JSL ON NM,SINH3,20, R$ 17.37 
6,16/07/2019,C,JSL ON NM,SINH3,4, R$ 17.37 
7,16/07/2019,C,JSL ON NM,SINH3,4, R$ 17.37 
8,24/07/2019,V,CIELO ON,CIEL3,13, R$ 7.47 
9,26/07/2019,C,JSL ON NM,SINH3,6, R$ 16.87 
10,06/08/2019,C,CPFL ENERGIA ON NM,CPFE3,8, R$ 32.85 
11,06/08/2019,C,CPFL ENERGIA ON NM,CPFE3,12, R$ 32.84 
12,06/08/2019,C,ISHARES BOVA CI,BOVA11,2, R$ 97.77 
13,06/08/2019,C,JSL ON NM,SINH3,10, R$ 17.25 
14,06/08/2019,C,LOJAS RENNER ON,LREN3,2, R$ 49.50 
15,06/08/2019,C,MAGAZ LUIZA ON,MGLU3,10, R$ 36.70 
16,06/08/2019,C,MULTIPLAN ON N2,MULT3,5, R$ 27.50 
17,06/08/2019,C,MULTIPLAN ON N2,MULT3,5, R$ 27.60 
18,06/08/2019,C,TOTVS ON NM,TOTS3,4, R$ 48.60 
19,07/08/2019,C,MAGAZ LUIZA ON,MGLU3,1, R$ 36.32 
20,15/08/2019,C,ISHARES BOVA CI,BOVA11,1, R$ 97.15 
21,15/08/2019,C,JSL ON NM,SINH3,10, R$ 17.50 
22,15/08/2019,C,JSL ON NM,SINH3,10, R$ 17.77 
23,15/08/2019,C,LOJAS RENNER ON,LREN3,2, R$ 48.40 
24,15/08/2019,C,MOVIDA ON,MOVI3,1, R$ 16.20 
25,26/08/2019,C,ISHARES BOVA CI,BOVA11,1, R$ 93.25 
26,26/08/2019,C,MOVIDA ON,MOVI3,1, R$ 14.12 
27,26/08/2019,C,MOVIDA ON,MOVI3,1, R$ 14.09 
28,26/08/2019,C,MOVIDA ON,MOVI3,1, R$ 14.11 
29,26/08/2019,C,VIAVAREJO ON NM,VIIA3,1, R$ 6.64 
30,29/08/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 95.41 
31,30/08/2019,C,ULTRAPAR ON,UGPA3,1, R$ 16.58 
32,02/09/2019,V,JSL ON NM,SINH3,5, R$ 18.25 
33,02/09/2019,V,JSL ON NM,SINH3,4, R$ 18.15 
34,02/09/2019,C,MULTIPLAN ON N2,MULT3,2, R$ 26.01 
35,03/09/2019,C,MULTIPLAN ON N2,MULT3,1, R$ 25.86 
36,04/09/2019,C,OI ON N1,OIBR3,100, R$ 1.20 
37,09/09/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 99.50 
38,09/09/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 100.20 
39,09/09/2019,C,JSL ON NM,SINH3,2, R$ 17.60 
40,09/09/2019,C,JSL ON NM,SINH3,1, R$ 17.97 
41,09/09/2019,C,LOJAS RENNER ON,LREN3,1, R$ 49.45 
42,09/09/2019,C,LOJAS RENNER ON,LREN3,1, R$ 48.95 
43,09/09/2019,C,MAGAZ LUIZA ON,MGLU3,1, R$ 34.40 
44,09/09/2019,C,MAGAZ LUIZA ON,MGLU3,1, R$ 34.35 
45,13/09/2019,C,JSL ON NM,SINH3,2, R$ 17.94 
46,13/09/2019,C,JSL ON NM,SINH3,1, R$ 17.88 
47,13/09/2019,C,JSL ON NM,SINH3,1, R$ 17.86 
48,11/09/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 100.10 
49,12/09/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 100.42 
50,16/09/2019,C,KLABIN S/A ON N2,KLBN3,5, R$ 3.58 
51,16/09/2019,C,KLABIN S/A ON N2,KLBN3,5, R$ 3.59 
52,19/09/2019,V,CPFL ENERGIA ON NM,CPFE3,2, R$ 33.19 
53,19/09/2019,V,CPFL ENERGIA ON NM,CPFE3,2, R$ 33.15 
54,19/09/2019,V,MULTIPLAN ON N2,MULT3,1, R$ 28.41 
55,19/09/2019,C,ULTRAPAR ON,UGPA3,1, R$ 18.35 
56,24/09/2019,V,TOTVS ON NM,TOTS3,2, R$ 57.33 
57,25/09/2019,C,JSL ON NM,SINH3,4, R$ 17.23 
58,25/09/2019,C,LOJAS RENNER ON,LREN3,2, R$ 48.56 
59,26/09/2019,C,KLABIN S/A ON N2,KLBN3,10, R$ 3.60 
60,30/09/2019,C,JSL ON NM,SINH3,5, R$ 17.30 
61,30/09/2019,C,JSL ON NM,SINH3,3, R$ 17.29 
62,30/09/2019,C,JSL ON NM,SINH3,2, R$ 17.29 
63,30/09/2019,V,MAGAZ LUIZA ON,MGLU3,3, R$ 37.01 
64,30/09/2019,V,MAGAZ LUIZA ON,MGLU3,4, R$ 37.02 
65,30/09/2019,V,MAGAZ LUIZA ON,MGLU3,1, R$ 37.02 
66,02/10/2019,C,KLABIN S/A ON N2,KLBN3,10, R$ 3.50 
67,02/10/2019,C,LOJAS RENNER ON,LREN3,1, R$ 48.84 
68,02/10/2019,V,TOTVS ON NM,TOTS3,2, R$ 57.33 
69,03/10/2019,C,LOJAS RENNER ON,LREN3,1, R$ 48.10 
70,03/10/2019,C,MOVIDA ON,MOVI3,2, R$ 14.49 
71,03/10/2019,C,OI ON N1,OIBR3,100, R$ 0.89 
72,09/10/2019,C,KLABIN S/A ON N2,KLBN3,5, R$ 3.28 
73,09/10/2019,V,MAGAZ LUIZA ON,MGLU3,2, R$ 38.75 
74,09/10/2019,V,MAGAZ LUIZA ON,MGLU3,2, R$ 39.49 
75,09/10/2019,V,MAGAZ LUIZA ON,MGLU3,1, R$ 38.70 
76,09/10/2019,C,MOVIDA ON,MOVI3,4, R$ 14.50 
77,14/10/2019,V,JSL ON NM,SINH3,3, R$ 17.95 
78,14/10/2019,V,JSL ON NM,SINH3,3, R$ 17.89 
79,14/10/2019,V,JSL ON NM,SINH3,2, R$ 17.95 
80,14/10/2019,C,SABESP ON NM,SBSP3,2, R$ 49.50 
81,14/10/2019,C,TIM PART S/A ON,TIMS3,5, R$ 11.54 
82,15/10/2019,C,CPFL ENERGIA ON NM,CPFE3,2, R$ 32.00 
83,15/10/2019,C,CPFL ENERGIA ON NM,CPFE3,2, R$ 32.52 
84,15/10/2019,C,CPFL ENERGIA ON NM,CPFE3,2, R$ 31.90 
85,15/10/2019,V,JSL ON NM,SINH3,2, R$ 18.00 
86,15/10/2019,V,JSL ON NM,SINH3,2, R$ 18.05 
87,15/10/2019,C,TIM PART S/A ON,TIMS3,5, R$ 11.35 
88,17/10/2019,C,CPFL ENERGIA ON NM,CPFE3,1, R$ 31.97 
89,17/10/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 101.74 
90,17/10/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 101.75 
91,18/10/2019,C,CPFL ENERGIA ON NM,CPFE3,1, R$ 31.83 
92,18/10/2019,V,JSL ON NM,SINH3,4, R$ 18.74 
93,22/10/2019,C,CPFL ENERGIA ON NM,CPFE3,2, R$ 32.54 
94,22/10/2019,V,ISHARES BOVA CI,BOVA11,1, R$ 103.07 
95,24/10/2019,C,CPFL ENERGIA ON NM,CPFE3,1, R$ 31.66 
96,24/10/2019,C,LOJAS RENNER ON,LREN3,1, R$ 50.18 
97,24/10/2019,C,MOVIDA ON,MOVI3,1, R$ 15.04 
98,24/10/2019,C,MOVIDA ON,MOVI3,1, R$ 14.84 
99,25/10/2019,C,BANCO PAN PN N1,BPAN4,10, R$ 9.20 
100,01/11/2019,C,CCR SA ON NM,CCRO3,4, R$ 16.65 
101,01/11/2019,C,MOVIDA ON,MOVI3,3, R$ 15.06 
102,07/11/2019,V,CPFL ENERGIA ON NM,CPFE3,2, R$ 33.37 
103,07/11/2019,V,CPFL ENERGIA ON NM,CPFE3,1, R$ 33.36 
104,08/11/2019,C,BANCO PAN PN N1,BPAN4,2, R$ 8.95 
105,11/11/2019,C,CPFL ENERGIA ON NM,CPFE3,2, R$ 31.90 
106,11/11/2019,C,JSL ON NM,SINH3,2, R$ 21.48 
107,11/11/2019,V,JSL ON NM,SINH3,3, R$ 21.14 
108,11/11/2019,V,JSL ON NM,SINH3,4, R$ 21.48 
109,13/11/2019,C,BANCO PAN PN N1,BPAN4,1, R$ 8.54 
110,12/11/2019,C,BANCO PAN PN N1,BPAN4,2, R$ 8.79 
111,14/11/2019,V,TIM PART S/A ON,TIMS3,5, R$ 12.89 
112,21/11/2019,C,CCR SA ON NM,CCRO3,3, R$ 17.03 
113,21/11/2019,C,MOVIDA ON,MOVI3,5, R$ 16.45 
114,21/11/2019,V,TIM PART S/A ON,TIMS3,3, R$ 13.46 
115,21/11/2019,V,TIM PART S/A ON,TIMS3,2, R$ 13.46 
116,27/11/2019,V,VIAVAREJO ON NM,VIIA3,15, R$ 8.24 
117,28/11/2019,C,BRADESCO PN,BBDC4,4, R$ 33.02 
118,03/12/2019,V,JSL ON NM,SINH3,5, R$ 22.31 
119,03/12/2019,V,JSL ON NM,SINH3,5, R$ 22.45 
120,03/12/2019,V,JSL ON NM,SINH3,5, R$ 22.65 
121,13/12/2019,C,B3 ON NM,B3SA3,2, R$ 46.35 
122,13/12/2019,C,B3 ON NM,B3SA3,2, R$ 46.37 
123,23/12/2019,C,B3 ON NM,B3SA3,3, R$ 46.61 
124,19/12/2019,C,OI ON N1,OIBR3,100, R$ 0.89 
125,27/12/2019,C,B3 ON NM,B3SA3,3, R$ 44.45 
126,27/12/2019,V,JSL ON NM,SINH3,5, R$ 26.20 
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
